order	family	subfamily	genus	clade	species	common_name	gaa_name	synonymies	itis_names	aweb_uid	uri/guid	taxon_notes_public
Anura	Allophrynidae		Allophryne		resplendens					7786	http://amphibiaweb.org/species/7786	
Anura	Allophrynidae		Allophryne		ruthveni	Tukeit-Hill Frog	Allophryne ruthveni		Sphaenorhynchus seabrai, Sphoenohyla seabrai	2059	http://amphibiaweb.org/species/2059	
Anura	Alsodidae		Alsodes		australis		Alsodes australis			5715	http://amphibiaweb.org/species/5715	
Anura	Alsodidae		Alsodes		barrioi		Alsodes barrioi			2552	http://amphibiaweb.org/species/2552	
Anura	Alsodidae		Alsodes		coppingeri				Eupsophus coppingeri	7307	http://amphibiaweb.org/species/7307	
Anura	Alsodidae		Alsodes		gargola		Alsodes gargola			2553	http://amphibiaweb.org/species/2553	
Anura	Alsodidae		Alsodes		hugoi		Alsodes hugoi			5836	http://amphibiaweb.org/species/5836	
Anura	Alsodidae		Alsodes		igneus		Alsodes igneus			6427	http://amphibiaweb.org/species/6427	
Anura	Alsodidae		Alsodes		kaweshkari		Alsodes kaweshkari			5716	http://amphibiaweb.org/species/5716	
Anura	Alsodidae		Alsodes		laevis		Alsodes laevis		Telmatobius laevis	2554	http://amphibiaweb.org/species/2554	
Anura	Alsodidae		Alsodes		montanus		Alsodes montanus		Telmatobius montanus	2555	http://amphibiaweb.org/species/2555	
Anura	Alsodidae		Alsodes		monticola		Alsodes monticola		Eupsophus monticola	2556	http://amphibiaweb.org/species/2556	
Anura	Alsodidae		Alsodes		neuquensis					7893	http://amphibiaweb.org/species/7893	
Anura	Alsodidae		Alsodes		nodosus		Alsodes nodosus		Eupsophus illotus, Eupsophus nodosus	2557	http://amphibiaweb.org/species/2557	
Anura	Alsodidae		Alsodes		norae					7115	http://amphibiaweb.org/species/7115	
Anura	Alsodidae		Alsodes		pehuenche		Alsodes pehuenche			2558	http://amphibiaweb.org/species/2558	
Anura	Alsodidae		Alsodes		tumultuosus		Alsodes tumultuosus			2559	http://amphibiaweb.org/species/2559	
Anura	Alsodidae		Alsodes		valdiviensis		Alsodes valdiviensis			6428	http://amphibiaweb.org/species/6428	
