order	family	subfamily	genus	subgenus	species	spauthor	year_described	common_name	gaa_name	synonymies	itis_names	iucn	isocc	intro_isocc	aweb_uid	uri/guid	taxon_notes_public
Anura	Allophrynidae		Allophryne		relicta	Caramaschi, Orrico, Faivovich, Dias & Solé, 2013	2013						BR		8097	https://amphibiaweb.org/species/8097	
Anura	Allophrynidae		Allophryne		resplendens	Castroviejo-Fisher, Pérez-Peña, Padial & Guayasamin, 2012	2012	Resplendent Frog					PE		7786	https://amphibiaweb.org/species/7786	
Anura	Allophrynidae		Allophryne		ruthveni	Gaige, 1926		Tukeit-Hill Frog	Allophryne ruthveni	Sphaenorhynchus seabrai, Sphoenohyla seabrai, Dryomelictes seabrai 	Sphaenorhynchus seabrai, Sphoenohyla seabrai	Least Concern (LC)	VE,SR,GY,GF,BR		2059	https://amphibiaweb.org/species/2059	
Anura	Alsodidae		Alsodes		australis	Formas, Úbeda, Cuevas & Nuñez, 1997			Alsodes australis			Data Deficient (DD)	CL,AR		5715	https://amphibiaweb.org/species/5715	
Anura	Alsodidae		Alsodes		barrioi	Veloso, Diaz, Iturra-Constant & Penna, 1981			Alsodes barrioi			Endangered (EN)	CL		2552	https://amphibiaweb.org/species/2552	
Anura	Alsodidae		Alsodes		cantillanensis	Charrier, Correa-Quezada, Castro & Méndez-Torres, 2015	2015	Cantillana Spiny-Chest Frog	Alsodes cantillanensis			Critically Endangered (CR)	CL		8311	https://amphibiaweb.org/species/8311	
Anura	Alsodidae		Alsodes		coppingeri	(Günther, 1881)	2008			Eupsophus coppingeri	Eupsophus coppingeri	Data Deficient (DD)	CL		7307	https://amphibiaweb.org/species/7307	
Anura	Alsodidae		Alsodes		gargola	Gallardo, 1970			Alsodes gargola			Least Concern (LC)	AR,CL		2553	https://amphibiaweb.org/species/2553	
Anura	Alsodidae		Alsodes		hugoi	Cuevas & Formas, 2001	2001		Alsodes hugoi			Vulnerable (VU)	CL		5836	https://amphibiaweb.org/species/5836	
Anura	Alsodidae		Alsodes		igneus	Cuevas & Formas, 2005	2005		Alsodes igneus			Vulnerable (VU)	CL		6427	https://amphibiaweb.org/species/6427	
Anura	Alsodidae		Alsodes		kaweshkari	Formas, Cuevas & Nuñez, 1998			Alsodes kaweshkari			Data Deficient (DD)	CL		5716	https://amphibiaweb.org/species/5716	
Anura	Alsodidae		Alsodes		montanus	(Lataste, 1902)			Alsodes montanus	Telmatobius montanus	Telmatobius montanus	Vulnerable (VU)	AR,CL		2555	https://amphibiaweb.org/species/2555	
Anura	Alsodidae		Alsodes		monticola	Bell, 1843			Alsodes monticola	Eupsophus monticola	Eupsophus monticola	Data Deficient (DD)	CL		2556	https://amphibiaweb.org/species/2556	
Anura	Alsodidae		Alsodes		neuquensis	Cei, 1976	2012					Endangered (EN)	AR		7893	https://amphibiaweb.org/species/7893	
Anura	Alsodidae		Alsodes		nodosus	(Duméril & Bibron, 1841)			Alsodes nodosus	Eupsophus illotus, Eupsophus nodosus	Eupsophus illotus, Eupsophus nodosus	Near Threatened (NT)	AR,CL		2557	https://amphibiaweb.org/species/2557	
Anura	Alsodidae		Alsodes		norae	Cuevas, 2008	2008		Alsodes norae			Endangered (EN)	CL		7115	https://amphibiaweb.org/species/7115	
Anura	Alsodidae		Alsodes		pehuenche	Cei, 1976			Alsodes pehuenche			Critically Endangered (CR)	AR,CL		2558	https://amphibiaweb.org/species/2558	
Anura	Alsodidae		Alsodes		tumultuosus	Veloso, Iturra-Constant & Galleguillos-G., 1979			Alsodes tumultuosus			Vulnerable (VU)	CL		2559	https://amphibiaweb.org/species/2559	
Anura	Alsodidae		Alsodes		valdiviensis	Formas, Cuevas & Brieva, 2002	2002		Alsodes valdiviensis			Endangered (EN)	CL		6428	https://amphibiaweb.org/species/6428	
Anura	Alsodidae		Alsodes		vanzolinii	(Donoso-Barros, 1974)		Vanzolini's Spiny-Chest Frog	Alsodes vanzolinii			Endangered (EN)	CL		2560	https://amphibiaweb.org/species/2560	
Anura	Alsodidae		Alsodes		verrucosus	(Philippi, 1902)			Alsodes verrucosus			Endangered (EN)	AR,CL		2561	https://amphibiaweb.org/species/2561	
Anura	Alsodidae		Alsodes		vittatus	(Philippi, 1902)			Alsodes vittatus			Data Deficient (DD)	CL		2562	https://amphibiaweb.org/species/2562	
Anura	Alsodidae		Eupsophus		calcaratus	(Günther, 1881)			Eupsophus calcaratus	Zachaenus roseus		Least Concern (LC)	CL		2625	https://amphibiaweb.org/species/2625	
Anura	Alsodidae		Eupsophus		emiliopugini	Formas, 1989			Eupsophus emiliopugini			Least Concern (LC)	CL		2627	https://amphibiaweb.org/species/2627	
Anura	Alsodidae		Eupsophus		insularis	(Philippi, 1902)			Eupsophus insularis			Critically Endangered (CR)	CL		2628	https://amphibiaweb.org/species/2628	
Anura	Alsodidae		Eupsophus		migueli	Formas, 1978		Miguel's Toad	Eupsophus migueli	Eupsophus altor		Endangered (EN)	CL		2629	https://amphibiaweb.org/species/2629	
Anura	Alsodidae		Eupsophus		roseus	(Duméril & Bibron, 1841)			Eupsophus roseus	Eupsophus contulmoensis, Eupsophus nahuelbutensis, Eupsophus septentrionalis, Eupsophus sylvestris, Cystignathus roseus, Cystignathus sylvestris	Eupsophus sylvestris, Cystignathus roseus, Cystignathus sylvestris	Least Concern (LC)	CL,AR		2631	https://amphibiaweb.org/species/2631	
Anura	Alsodidae		Eupsophus		vertebralis	Grandison, 1961	1961		Eupsophus vertebralis			Least Concern (LC)	CL		2632	https://amphibiaweb.org/species/2632	
Anura	Alsodidae		Limnomedusa		macroglossa	(Duméril & Bibron, 1841)			Limnomedusa macroglossa	Limnomedusa misionis, Cystignathus macroglossus, Litopleura maritimum	Limnomedusa misionis, Cystignathus macroglossus, Litopleura maritimum	Least Concern (LC)	UY,BR,AR		2649	https://amphibiaweb.org/species/2649	
Anura	Alytidae	Alytinae	Alytes		almogavarii	Arntzen & García-París, 1995	1995	Catalonian Midwife Toad					FR,ES		9138	https://amphibiaweb.org/species/9138	
Anura	Alytidae	Alytinae	Alytes	Ammoryctis	cisternasii	Boscá, 1879		Iberian Midwife Toad, Ibersiche geburtshelferkroete, Gripau paridor ibèrec, Iberisk Fødselshjælperfrø, Ibeeria köidikkonn, sapo partero ibérico, sapo partero de cisternas, Apotzar, Alyte de cisternas,	Alytes cisternasii			Least Concern (LC)	ES,PT		1519	https://amphibiaweb.org/species/1519	
Anura	Alytidae	Alytinae	Alytes	Baleaphryne	dickhilleni	Arntzen & García-París, 1995		Midwife Toad of Hillenius, Betic midwife toad, sapo partero bético, sapo-parteiro-bético	Alytes dickhilleni			Vulnerable (VU)	ES		1520	https://amphibiaweb.org/species/1520	
Anura	Alytidae	Alytinae	Alytes	Baleaphryne	maurus	Pasteur & Bons, 1962	2004	Moroccan Midwife Toad	Alytes maurus			Near Threatened (NT)	DZ,MA		6244	https://amphibiaweb.org/species/6244	
Anura	Alytidae	Alytinae	Alytes	Baleaphryne	muletensis	(Sanchíz & Adrover, 1979)		Mallorcan Midwife Toad, Ferreret, Balearenkroete, Baleaari köidikkonn, Sapilo Balear, Alyte de Majorque, Alyte Balearico, Rospo Ostetrico Balearico, balearen vroedmeesterpad	Alytes muletensis			Endangered (EN)	ES		1521	https://amphibiaweb.org/species/1521	
Anura	Alytidae	Alytinae	Alytes	Alytes	obstetricans	(Laurenti, 1768)		Midwife Toad, Tòtil, Gripau llevador, Fødselshjælperfrø, geburtshelferkroete, glockenfrosch, harilik köidikkonn, sapo partero comùn, txantxiku arrunta, alyte accoucheur, crapaud accroucheur, sapo part	Alytes obstetricans			Least Concern (LC)	BE,FR,DE,IT,LU,NL,PT,ES,CH,GB	GB	1522	https://amphibiaweb.org/species/1522	
